,Player,Pos,Club,Birth Place,Birth Date,Age_x,MP,Min,Gls,Team,Age_y,Starts,90s,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
207,Awer Mabil,MF,Cádiz,"Kakuma, Kenya",1995-09-15,27-066,2,24,0,Australia,26.0,0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Jamie Maclaren,FW,Melb City,"Melbourne, Australia",1993-07-29,29-114,3,55,0,Australia,28.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
209,Riley McGree,"FW,MF",Middlesbrough,"Adelaide, Australia",1998-11-02,24-018,4,265,0,Australia,23.0,4,2.9,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27
210,Aaron Mooy,MF,Celtic,"Sydney, Australia",1990-09-15,32-066,4,360,0,Australia,31.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
211,Andrew Redmayne,GK,Sydney FC,"Gosford, Australia",1989-01-13,33-311,0,0,0,Australia,33.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Kye Rowles,DF,Hearts,"Kiama, Australia",1998-06-24,24-149,4,360,0,Australia,23.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Mathew Ryan,GK,FC Copenhagen,"Plumpton, Australia",1992-04-08,30-226,4,360,0,Australia,30.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Harry Souttar,DF,Stoke City,"Aberdeen, Scotland, United Kingdom",1998-10-22,24-029,4,360,0,Australia,23.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03
215,Marco Tilio,MF,Melb City,"Hurstville, Australia",2001-08-23,21-089,0,0,0,Australia,20.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Danny Vukovic,GK,Central Coast,"Sydney, Australia",1985-03-27,37-238,0,0,0,Australia,37.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Bailey Wright,DF,Sunderland,"Melbourne, Australia",1992-07-28,30-115,1,17,0,Australia,29.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Michel Aebischer,"MF,FW",Bologna,"Genève, Switzerland",1997-01-06,25-318,1,16,0,Switzerland,25.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Manuel Akanji,DF,Manchester City,"Wiesendangen / Wiesendangen (Dorf), Switzerland",1995-07-19,27-124,4,360,1,Switzerland,26.0,4,4.0,0,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,1.1,1.1,0.1,1.2,0.28,0.03,0.3,0.28,0.3
220,Eray Cömert,DF,Valencia,"Basel, Switzerland",1998-02-04,24-289,2,46,0,Switzerland,24.0,0,0.5,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Nico Elvedi,DF,M'Gladbach,"Zürich, Switzerland",1996-09-30,26-051,2,180,0,Switzerland,25.0,2,2.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04
222,Breel Embolo,FW,Monaco,"Yaoundé, Cameroon",1997-02-14,25-279,4,323,2,Switzerland,25.0,4,3.6,0,2,0,0,0,0,0.56,0.0,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66
223,Christian Fassnacht,FW,Young Boys,"Zürich, Switzerland",1993-11-11,29-009,1,8,0,Switzerland,28.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.58,0.0,2.58,2.58,2.58
224,Edimilson Fernandes,"FW,DF",Mainz 05,"Sitten, Switzerland",1996-04-15,26-219,3,145,0,Switzerland,26.0,1,1.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.02,0.21,0.23,0.02,0.23
225,Fabian Frei,MF,Basel,"Frauenfeld, Switzerland",1989-01-08,33-316,2,25,0,Switzerland,33.0,0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Remo Freuler,MF,Nott'ham Forest,"Ennenda, Switzerland",1992-04-15,30-219,4,323,1,Switzerland,30.0,4,3.6,0,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,0.5,0.5,0.0,0.5,0.14,0.0,0.14,0.14,0.14
227,Ardon Jasari,FW,Luzern,"Cham, Switzerland",2002-07-30,20-113,1,2,0,Switzerland,19.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Gregor Kobel,GK,Dortmund,"Zürich, Switzerland",1997-12-06,24-349,1,90,0,Switzerland,24.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Philipp Köhn,GK,RB Salzburg,"Dinslaken, Germany",1998-04-02,24-232,0,0,0,Switzerland,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Noah Okafor,"FW,MF",RB Salzburg,"Binningen, Switzerland",2000-05-24,22-180,3,45,0,Switzerland,22.0,0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.09,0.14,0.05,0.14
231,Jonas Omlin,GK,Montpellier,"Sarnen, Switzerland",1994-01-10,28-314,0,0,0,Switzerland,28.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Fabian Rieder,FW,Young Boys,"Koppigen, Switzerland",2002-02-16,20-277,2,68,0,Switzerland,20.0,1,0.8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.25,0.25,0.0,0.25
233,Ricardo Rodríguez,DF,Torino,"Zürich, Switzerland",1992-08-25,30-087,4,359,0,Switzerland,29.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.04,0.04,0.0,0.04
234,Fabian Schär,DF,Newcastle Utd,"Wil, Switzerland",1991-12-20,30-335,2,135,0,Switzerland,30.0,2,1.5,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.0,0.09,0.09,0.09
235,Haris Seferović,FW,Galatasaray,"Sursee, Switzerland",1992-02-22,30-271,3,71,0,Switzerland,30.0,0,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.24,0.03,0.27,0.24,0.27
236,Xherdan Shaqiri,"FW,MF",Chicago Fire,"Komuna e Gjilanit, Kosovo",1991-10-10,31-041,3,229,1,Switzerland,30.0,3,2.5,1,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,0.3,0.3,0.9,1.2,0.12,0.35,0.47,0.12,0.47
237,Yann Sommer,GK,M'Gladbach,"Morges, Switzerland",1988-12-17,33-338,3,270,0,Switzerland,33.0,3,3.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Djibril Sow,MF,Eint Frankfurt,"Zürich, Switzerland",1997-02-06,25-287,4,264,0,Switzerland,25.0,4,2.9,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12
239,Renato Steffen,FW,Lugano,"Aarau, Switzerland",1991-11-03,31-017,1,32,0,Switzerland,30.0,0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Ruben Vargas,FW,Augsburg,"Adligenswil, Switzerland",1998-08-05,24-107,4,285,0,Switzerland,23.0,4,3.2,1,0,0,0,1,0,0.0,0.32,0.32,0.0,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.3,0.11,0.3
241,Silvan Widmer,DF,Mainz 05,"Aarau, Switzerland",1993-03-05,29-260,3,265,0,Switzerland,29.0,3,2.9,1,0,0,0,1,0,0.0,0.34,0.34,0.0,0.34,0.0,0.0,0.8,0.9,0.01,0.29,0.3,0.01,0.3
242,Granit Xhaka,MF,Arsenal,"Basel, Switzerland",1992-09-27,30-054,4,360,0,Switzerland,29.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1
243,Denis Zakaria,MF,Chelsea,"Kinshasa, Congo DR",1996-11-20,26-000,2,59,0,Switzerland,25.0,0,0.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
244,Jordi Alba,DF,Barcelona,"Marmolejo, Spain",1989-03-21,33-244,4,264,0,Spain,33.0,3,2.9,2,0,0,0,0,0,0.0,0.68,0.68,0.0,0.68,0.0,0.0,0.9,0.9,0.01,0.31,0.32,0.01,0.32
245,Marco Asensio,FW,Real Madrid,"Palma de Mallorca, Spain",1996-01-21,26-303,4,229,1,Spain,26.0,3,2.5,0,1,0,0,0,0,0.39,0.0,0.39,0.39,0.39,1.2,1.2,0.1,1.3,0.48,0.02,0.5,0.48,0.5
246,César Azpilicueta,DF,Chelsea,"Pamplona, Spain",1989-08-28,33-084,2,135,0,Spain,32.0,2,1.5,1,0,0,0,0,0,0.0,0.67,0.67,0.0,0.67,0.0,0.0,0.7,0.7,0.0,0.45,0.45,0.0,0.45
247,Alejandro Balde,DF,Barcelona,"Barcelona, Spain",2003-10-18,19-033,4,126,0,Spain,18.0,1,1.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
248,Sergio Busquets,MF,Barcelona,"Sabadell, Spain",1988-07-16,34-127,4,363,0,Spain,33.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
249,Dani Carvajal,DF,Real Madrid,"Leganés, Spain",1992-01-11,30-313,2,135,0,Spain,30.0,1,1.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Ansu Fati,FW,Barcelona,"Bissau, Guinea-Bissau",2002-10-31,20-020,2,46,0,Spain,19.0,0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Eric García,DF,Barcelona,"Barcelona, Spain",2001-01-09,21-315,0,0,0,Spain,21.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Gavi,MF,Barcelona,"Los Palacios y Villafranca, Spain",2004-08-05,18-107,4,284,1,Spain,17.0,4,3.2,0,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
253,Hugo Guillamón,"DF,MF",Valencia,"San Sebastián, Spain",2000-01-31,22-293,0,0,0,Spain,22.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Koke,MF,Atlético Madrid,"Madrid, Spain",1992-01-08,30-316,2,52,0,Spain,30.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,Aymeric Laporte,DF,Manchester City,"Agen, France",1994-05-27,28-177,3,300,0,Spain,28.0,3,3.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
256,Marcos Llorente,DF,Atlético Madrid,"Madrid, Spain",1995-01-30,27-294,1,120,0,Spain,27.0,1,1.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
257,Álvaro Morata,FW,Atlético Madrid,"Madrid, Spain",1992-10-23,30-028,4,185,3,Spain,29.0,1,2.1,1,3,0,0,0,0,1.46,0.49,1.95,1.46,1.95,1.4,1.4,0.2,1.6,0.79,0.14,0.93,0.79,0.93
258,Dani Olmo,FW,RB Leipzig,"Terrassa, Spain",1998-05-07,24-197,4,367,1,Spain,24.0,4,4.1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.4,1.4,0.5,1.9,0.34,0.11,0.46,0.34,0.46
259,Pedri,MF,Barcelona,"Bajamar, Spain",2002-11-25,19-360,4,356,0,Spain,19.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.22,0.22,0.0,0.22
260,Yeremi Pino,"FW,MF",Villarreal,"Las Palmas de Gran Canaria, Spain",2002-10-20,20-031,0,0,0,Spain,19.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,David Raya,"FW,GK",Brentford,"Barcelona, Spain",1995-09-15,27-066,0,0,0,Spain,26.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,Rodri,DF,Manchester City,"Madrid, Spain",1996-06-22,26-151,4,390,0,Spain,25.0,4,4.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
263,Robert Sánchez,GK,Brighton,"Cartagena, Spain",1997-11-18,25-002,0,0,0,Spain,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,Pablo Sarabia,FW,Paris S-G,"Madrid, Spain",1992-05-11,30-193,1,3,0,Spain,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0
265,Unai Simón,GK,Athletic Club,"Gasteiz / Vitoria, Spain",1997-06-11,25-162,4,390,0,Spain,25.0,4,4.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Carlos Soler,MF,Paris S-G,"Valencia, Spain",1997-01-02,25-322,2,92,1,Spain,25.0,0,1.0,0,1,0,0,0,0,0.98,0.0,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04
267,Ferrán Torres,FW,Barcelona,"Foios, Spain",2000-02-29,22-264,4,217,2,Spain,22.0,3,2.4,0,1,1,1,0,0,0.83,0.0,0.83,0.41,0.41,1.0,0.2,0.2,0.4,0.42,0.07,0.5,0.1,0.17
268,Pau Torres,DF,Villarreal,"Villarreal, Spain",1997-01-16,25-308,1,90,0,Spain,25.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Nico Williams,FW,Athletic Club,"Pamplona, Spain",2002-07-12,20-131,4,146,0,Spain,19.0,1,1.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07
270,Brenden Aaronson,MF,Leeds United,"Medford, NJ, United States",2000-10-22,22-029,4,108,0,United,21.0,0,1.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24
271,Kellyn Acosta,MF,Los Angeles FC,"Plano, TX, United States",1995-07-24,27-119,2,43,0,United,26.0,0,0.5,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Tyler Adams,MF,Leeds United,"Wappingers Falls, NY, United States",1999-02-14,23-279,4,360,0,United,23.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.01,0.11,0.12,0.01,0.12
273,Cameron Carter-Vickers,DF,Celtic,"Southend-on-Sea, England, United Kingdom",1997-12-31,24-324,1,90,0,United,24.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Sergiño Dest,DF,Milan,"Almere Stad, Netherlands",2000-11-03,22-017,4,305,0,United,21.0,4,3.4,1,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22
275,Jesús Ferreira,FW,FC Dallas,"Santa Marta, Colombia",2000-12-24,21-331,1,45,0,United,21.0,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Ethan Horvath,GK,Luton Town,"Highlands Ranch, CO, United States",1995-06-09,27-164,0,0,0,United,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Sean Johnson,GK,NYCFC,"Lilburn, GA, United States",1989-05-31,33-173,0,0,0,United,33.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Luca de la Torre,MF,Celta Vigo,"San Diego, CA, United States",1998-05-23,24-181,0,0,0,United,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Aaron Long,DF,NY Red Bulls,"Oak Hills, CA, United States",1992-10-12,30-039,0,0,0,United,29.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,Weston McKennie,MF,Juventus,"Little Elm, TX, United States",1998-08-28,24-084,4,271,0,United,23.0,4,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.13,0.13,0.27,0.13,0.27
281,Shaquell Moore,DF,Nashville,"Powder Springs, GA, United States",1996-11-02,26-018,2,22,0,United,25.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Jordan Morris,"FW,DF",Seattle,"Seattle, WA, United States",1994-10-26,28-025,2,4,0,United,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Yunus Musah,MF,Valencia,"The Bronx, NY, United States",2002-11-29,19-356,4,343,0,United,19.0,4,3.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.08,0.02,0.11,0.08,0.11
284,Christian Pulisic,"FW,MF",Chelsea,"Easton, PA, United States",1998-09-18,24-063,4,315,1,United,23.0,4,3.5,2,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,1.1,1.1,0.9,2.0,0.3,0.26,0.56,0.3,0.56
285,Tim Ream,DF,Fulham,"St. Louis, MO, United States",1987-10-05,35-046,4,360,0,United,34.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.07,0.0,0.07,0.07,0.07
286,Gio Reyna,FW,Dortmund,"Durham, England, United Kingdom",2002-11-13,20-007,2,53,0,United,19.0,0,0.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.28,0.38,0.1,0.38
287,Antonee Robinson,DF,Fulham,"Milton Keynes, England, United Kingdom",1997-08-08,25-104,4,359,0,United,24.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.07,0.07,0.0,0.07
288,Cristian Roldan,"FW,MF",Seattle,"Pico Rivera, CA, United States",1995-06-03,27-170,0,0,0,United,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Josh Sargent,FW,Norwich City,"O'Fallon, MO, United States",2000-02-20,22-273,3,157,0,United,22.0,2,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25
290,Joe Scally,DF,M'Gladbach,"Lake Grove, NY, United States",2002-12-31,19-324,0,0,0,United,19.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Matt Turner,GK,Arsenal,"Park Ridge, NJ, United States",1994-06-24,28-149,4,360,0,United,27.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Timothy Weah,FW,Lille,"Brooklyn, NY, United States",2000-02-22,22-271,4,316,1,United,22.0,4,3.5,0,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,0.6,0.6,0.4,1.1,0.18,0.12,0.31,0.18,0.31
293,Haji Wright,FW,Antalyaspor,"Los Angeles, CA, United States",1998-03-27,24-238,4,137,1,United,24.0,1,1.5,0,1,0,0,0,0,0.66,0.0,0.66,0.66,0.66,0.5,0.5,0.0,0.6,0.35,0.02,0.37,0.35,0.37
294,DeAndre Yedlin,DF,Inter Miami,"Seattle, WA, United States",1993-07-09,29-134,2,33,0,United,28.0,0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Walker Zimmerman,DF,Nashville,"Lawrenceville, GA, United States",1993-05-19,29-185,4,279,0,United,29.0,3,3.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
296,Jan Bednarek,DF,Aston Villa,"Słupca, Poland",1996-04-12,26-222,1,5,0,Poland,26.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Bartosz Bereszyński,DF,Sampdoria,"Poznań, Poland",1992-07-12,30-131,4,341,0,Poland,29.0,4,3.8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Krystian Bielik,MF,Derby County,"Konin, Poland",1998-01-04,24-320,4,216,0,Poland,24.0,2,2.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.07,0.0,0.07,0.07,0.07
299,Matty Cash,DF,Aston Villa,"Slough, England, United Kingdom",1997-08-07,25-105,4,360,0,Poland,24.0,4,4.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
300,Przemysław Frankowski,MF,Lens,"Gdańsk, Poland",1995-04-12,27-222,4,240,0,Poland,27.0,3,2.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.01,0.09,0.11,0.01,0.11
301,Kamil Glik,DF,Benevento,"Jastrzębie Zdrój, Poland",1988-02-03,34-290,4,360,0,Poland,34.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06
302,Kamil Grabara,GK,FC Copenhagen,"Ruda Śląska, Poland",1999-01-08,23-316,0,0,0,Poland,23.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Kamil Grosicki,MF,Pogoń Szczecin,"Szczecin, Poland",1988-06-08,34-165,1,4,0,Poland,34.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.69,1.69,0.0,1.69
304,Robert Gumny,DF,Augsburg,"Poznań, Poland",1998-06-04,24-169,0,0,0,Poland,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Artur Jędrzejczyk,DF,Legia Warsaw,"Dębica, Poland",1987-11-04,35-016,1,19,0,Poland,34.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Jakub Kamiński,MF,Wolfsburg,"Ruda Śląska, Poland",2002-06-05,20-168,4,233,0,Poland,20.0,2,2.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.5,0.14,0.09,0.23,0.1,0.19
307,Jakub Kiwior,DF,Spezia,"Tychy, Poland",2000-02-15,22-278,4,355,0,Poland,22.0,4,3.9,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
308,Grzegorz Krychowiak,MF,Al-Shabab,"Gryfice, Poland",1990-01-29,32-295,4,332,0,Poland,32.0,4,3.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.05,0.05,0.01,0.05
309,Robert Lewandowski,FW,Barcelona,"Warsaw, Poland",1988-08-21,34-091,4,360,2,Poland,33.0,4,4.0,1,1,1,2,0,0,0.5,0.25,0.75,0.25,0.5,2.9,1.4,0.4,1.8,0.73,0.1,0.83,0.34,0.44
310,Arkadiusz Milik,"FW,MF",Juventus,"Tychy, Poland",1994-02-28,28-265,3,101,0,Poland,28.0,1,1.1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31
