,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
25,12.0,Kevin Trapp,GK,1.de Eint Frankfurt,"Merzig, Germany",1990-07-08,32-135,0.0,,
0,4.0,Robert Arboleda,DF,1.br São Paulo,"Esmeraldas, Ecuador",1991-10-22,31-029,0.0,,
1,14.0,Xavier Arreaga,DF,1.us Seattle,"Guayaquil, Ecuador",1994-09-28,28-053,0.0,,
2,23.0,Moisés Caicedo,MF,1.eng Brighton,"Santo Domingo de los Colorados, Ecuador",2001-11-02,21-018,3.0,269.0,1.0
3,5.0,José Cifuentes,MF,1.us Los Angeles FC,"Esmeraldas, Ecuador",1999-03-12,23-253,2.0,59.0,0.0
4,22.0,Alexander Domínguez,GK,1.ec LDU de Quito,"Esmeraldas, Ecuador",1987-06-05,35-168,0.0,,
5,11.0,Michael Estrada,FW,1.mx Cruz Azul,"Guayaquil, Ecuador",1996-04-07,26-227,3.0,225.0,0.0
6,7.0,Pervis Estupiñán,DF,1.eng Brighton,"Esmeraldas, Ecuador",1998-01-21,24-303,3.0,270.0,0.0
7,21.0,Alan Franco,MF,1.ar Talleres,"Alfredo Baquerizo Moreno, Ecuador",1998-08-21,24-091,2.0,46.0,0.0
8,1.0,Hernán Galíndez,GK,1.ec SD Aucas,"Rosario, Argentina",1987-03-30,35-235,3.0,270.0,0.0
9,8.0,Carlos Gruezo,MF,1.de Augsburg,"Santo Domingo de los Colorados, Ecuador",1995-04-19,27-215,1.0,45.0,0.0
10,3.0,Piero Hincapié,DF,1.de Leverkusen,"Esmeraldas, Ecuador",2002-01-09,20-315,3.0,270.0,0.0
11,10.0,Romario Ibarra,MF,1.mx Pachuca,"Atuntaqui, Ecuador",1994-09-24,28-057,2.0,68.0,0.0
12,26.0,Kevin Jauch,FW,2.ec CA Santo Domingo,"Tulcán, Ecuador",1992-11-24,29-361,,,
13,15.0,Ángel Mena,"FW,MF",1.mx León,"Guayaquil, Ecuador",1988-01-21,34-303,0.0,,
14,20.0,Jhegson Méndez,MF,1.us Los Angeles FC,"Mira, Ecuador",1997-04-26,25-208,2.0,180.0,0.0
15,6.0,William Pacho,DF,1.be Antwerp,"Rosa Zarate, Ecuador",2001-10-16,21-035,0.0,,
16,18.0,Diego Palacios,DF,1.us Los Angeles FC,"Guayaquil, Ecuador",1999-07-12,23-131,0.0,,
17,19.0,Gonzalo Plata,"MF,FW",1.es Valladolid,"Guayaquil, Ecuador",2000-11-01,22-019,3.0,269.0,0.0
18,25.0,Jackson Porozo,DF,1.fr Troyes,"San Lorenzo, Ecuador",2000-08-04,22-108,2.0,96.0,0.0
19,17.0,Ángelo Preciado,DF,1.be Genk,"Shushufindi, Ecuador",1998-02-18,24-275,3.0,264.0,0.0
20,9.0,Ayrton Preciado,MF,1.mx Santos,"Esmeraldas, Ecuador",1994-07-17,28-126,0.0,,
21,12.0,Moisés Ramírez,GK,1.ec Independiente,"Guayaquil, Ecuador",2000-09-09,22-072,0.0,,
22,24.0,Djorkaeff Reasco,FW,1.ar Newell's OB,"Quito, Ecuador",1999-01-18,23-306,1.0,27.0,0.0
23,16.0,Jeremy Sarmiento,"MF,FW",1.eng Brighton,"Madrid, Spain",2002-06-16,20-157,3.0,85.0,0.0
24,2.0,Félix Torres Caicedo,DF,1.mx Santos,"San Lorenzo, Ecuador",1997-01-11,25-313,3.0,270.0,0.0
25,13.0,Enner Valencia,"FW,MF",1.tr Fenerbahçe,"San Lorenzo, Ecuador",1989-11-04,33-016,3.0,255.0,3.0
0,10.0,Vincent Aboubakar,FW,1.sa Al-Nassr,"Yaoundé, Cameroon",1992-01-22,30-302,3.0,142.0,2.0
1,11.0,Christian Bassogog,MF,1.cn Shanghai Shen,"Douala, Cameroon",1995-10-18,27-033,1.0,24.0,0.0
2,21.0,Jean-Charles Castelletto,DF,1.fr Nantes,"Clamart, France",1995-01-26,27-298,2.0,180.0,1.0
3,24.0,Enzo Ebosse,DF,1.it Udinese,"Amiens, France",1999-03-11,23-254,1.0,90.0,0.0
4,16.0,Devis Epassy,GK,1.sa Abha,"Soisy-sous-Montmorency, France",1993-02-02,29-291,2.0,180.0,0.0
5,19.0,Collins Fai,DF,1.sa Al-Ta'ee,"Bamenda, Cameroon",1992-08-13,30-099,3.0,270.0,0.0
6,18.0,Martin Hongla,MF,1.it Hellas Verona,"Yaoundé, Cameroon",1998-03-16,24-249,2.0,121.0,0.0
7,15.0,Pierre Kunde,MF,1.gr Olympiacos,"Limbe, Cameroon",1995-07-26,27-117,2.0,131.0,0.0
8,13.0,Eric Maxim Choupo-Moting,"FW,MF",1.de Bayern Munich,"Hamburg, Germany",1989-03-23,33-242,3.0,253.0,1.0
9,17.0,Olivier Mbaizo,DF,1.us Philadelphia,"Douala, Cameroon",1997-08-15,25-097,0.0,,
10,20.0,Bryan Mbeumo,"FW,MF",1.eng Brentford,"Avallon, France",1999-08-07,23-105,3.0,233.0,0.0
11,7.0,Georges-Kévin N'Koudou,"FW,MF",1.tr Beşiktaş,"Versailles, France",1995-02-13,27-280,2.0,27.0,0.0
12,6.0,Moumi Ngamaleu,"FW,MF",1.ru Dynamo Mosc,"Yaoundé, Cameroon",1994-07-09,28-134,2.0,95.0,0.0
13,1.0,Simon Ngapandouetnbu,GK,1.fr Marseille,"Foumban, Cameroon",2003-04-12,19-222,0.0,,
14,2.0,Jerome Ngom Mbekeli,MF,1.cm Colombe Sportive du Dja et Lobo,"Yaoundé, Cameroon",1998-09-30,24-051,1.0,5.0,0.0
15,3.0,Nicolas Nkoulou,DF,1.gr Aris,"Yaoundé, Cameroon",1990-03-27,32-238,2.0,180.0,0.0
16,9.0,Jean-Pierre Nsame,FW,1.ch Young Boys,"Douala, Cameroon",1993-05-01,29-203,0.0,,
17,22.0,Olivier Ntcham,MF,2.eng Swansea City,"Longjumeau, France",1996-02-09,26-284,1.0,25.0,0.0
18,23.0,André Onana,GK,1.it Inter,"Mefou-et-Akono, Cameroon",1996-04-02,26-232,1.0,80.0,0.0
19,5.0,Gaël Ondoua,MF,2.de Hannover 96,"Yaoundé, Cameroon",1995-11-04,27-016,2.0,47.0,0.0
20,14.0,Samuel Oum Gouet,MF,1.be Mechelen,"Ayos, Cameroon",1997-12-13,24-342,2.0,100.0,0.0
21,26.0,Marou Souaibou,FW,1.cm Coton Sport FC de Garoua,"Garoua, Cameroon",2000-12-03,21-352,0.0,,
22,12.0,Karl Toko Ekambi,"FW,MF",1.fr Lyon,"Paris, France",1992-09-14,30-067,3.0,166.0,0.0
23,25.0,Nouhou Tolo,DF,1.us Seattle,"Douala, Cameroon",1997-06-23,25-150,3.0,270.0,0.0
24,4.0,Christopher Wooh,DF,1.fr Rennes,"Louvres, France",2001-09-18,21-063,1.0,90.0,0.0
25,8.0,Andre-Frank Zambo Anguissa,MF,1.it Napoli,"Yaoundé, Cameroon",1995-11-16,27-004,3.0,260.0,0.0
0,,Ronald Araújo,DF,1.es Barcelona,"Rivera, Uruguay",1999-03-07,23-258,,,
1,26.0,José Luis Rodríguez Bebanz,DF,1.uy Nacional,"Canelones, Uruguay",1997-03-14,25-251,0.0,,
2,6.0,Rodrigo Bentancur,MF,1.eng Tottenham,"Colonia del Sacramento, Uruguay",1997-06-25,25-148,3.0,213.0,0.0
3,22.0,Martín Cáceres,DF,1.us LA Galaxy,"Montevideo, Uruguay",1987-04-07,35-227,1.0,90.0,0.0
4,24.0,Agustín Canobbio,MF,1.br Atl Paranaense,"Montevideo, Uruguay",1998-10-01,24-050,1.0,11.0,0.0
5,21.0,Edinson Cavani,FW,1.es Valencia,"Salto, Uruguay",1987-02-14,35-279,3.0,124.0,0.0
6,19.0,Sebastián Coates,DF,1.pt Sporting CP,"Montevideo, Uruguay",1990-10-07,32-044,2.0,180.0,0.0
7,10.0,Giorgian De Arrascaeta,MF,1.br Flamengo,"Nuevo Berlín, Uruguay",1994-06-01,28-172,2.0,108.0,2.0
8,7.0,Nicolás De La Cruz,MF,1.ar River Plate,"Montevideo, Uruguay",1997-06-01,25-172,2.0,38.0,0.0
9,3.0,Diego Godín,DF,1.ar Vélez Sarsf,"Rosario, Uruguay",1986-02-16,36-277,2.0,151.0,0.0
10,18.0,Maxi Gómez,FW,1.tr Trabzonspor,"Paysandú, Uruguay",1996-08-14,26-098,2.0,30.0,0.0
11,2.0,José María Giménez,DF,1.es Atlético Madrid,"Toledo, Uruguay",1995-01-20,27-304,3.0,270.0,0.0
12,1.0,Fernando Muslera,GK,1.tr Galatasaray,"Buenos Aires, Argentina",1986-06-16,36-157,0.0,,
13,11.0,Darwin Núñez,FW,1.eng Liverpool,"Artigas, Uruguay",1999-06-24,23-149,3.0,240.0,0.0
14,16.0,Mathías Olivera,DF,1.it Napoli,"Montevideo, Uruguay",1997-10-31,25-020,3.0,253.0,0.0
15,8.0,Facundo Pellistri,"MF,FW",1.eng Manchester Utd,"Uruguay, Uruguay",2001-12-20,20-335,3.0,181.0,0.0
16,23.0,Sergio Rochet,GK,1.uy Nacional,"Nueva Palmira, Uruguay",1993-03-23,29-242,3.0,270.0,0.0
17,12.0,Sebastián Sosa,GK,1.ar Independiente,"Montevideo, Uruguay",1986-08-19,36-093,0.0,,
18,9.0,Luis Suárez,FW,1.uy Nacional,"Salto, Uruguay",1987-01-24,35-300,3.0,146.0,0.0
19,14.0,Lucas Torreira,MF,1.tr Galatasaray,"Fray Bentos, Uruguay",1996-02-11,26-282,0.0,,
20,20.0,Facundo Torres,"FW,MF",1.us Orlando City,"Montevideo, Uruguay",2000-04-13,22-221,0.0,,
21,25.0,Manuel Ugarte Ribeiro,MF,1.pt Sporting CP,"Montevideo, Uruguay",2001-04-11,21-223,0.0,,
22,15.0,Federico Valverde,MF,1.es Real Madrid,"Montevideo, Uruguay",1998-07-22,24-121,3.0,270.0,0.0
23,13.0,Guillermo Varela,DF,1.br Flamengo,"Montevideo, Uruguay",1993-03-24,29-241,3.0,183.0,0.0
24,5.0,Matías Vecino,MF,1.it Lazio,"Canelones, Uruguay",1991-08-24,31-088,3.0,195.0,0.0
25,17.0,Matías Viña,DF,1.it Roma,"Empalme Olmos, Uruguay",1997-11-09,25-011,2.0,17.0,0.0
0,24.0,Ali Abdi,DF,2.fr Caen,"Sfax, Tunisia",1993-12-20,28-335,3.0,188.0,0.0
1,22.0,Bechir Ben Saïd,GK,1.tn US Monastir,"Gabès, Tunisia",1992-11-29,29-356,0.0,,
2,25.0,Anis Ben Slimane,MF,1.dk Brøndby,"Copenhagen, Denmark",2001-03-16,21-249,2.0,148.0,0.0
3,6.0,Dylan Bronn,DF,1.it Salernitana,"Cannes, France",1995-06-19,27-154,2.0,162.0,0.0
4,18.0,Ghaylène Chaalali,MF,1.tn Espérance de Tunis,"Manouba, Tunisia",1994-02-28,28-265,1.0,17.0,0.0
5,16.0,Aimen Dahmen,GK,1.tn CS Sfaxien,"Sfax, Tunisia",1997-01-28,25-296,3.0,270.0,0.0
6,20.0,Mohamed Dräger,DF,1.ch Luzern,"Freiburg, Germany",1996-06-25,26-148,2.0,132.0,0.0
7,5.0,Nader Ghandri,DF,1.tn Club Africain,"Aubervilliers, France",1995-02-18,27-275,1.0,90.0,0.0
8,26.0,Mouez Hassen,GK,1.tn Club Africain,"Fréjus, France",1995-03-05,27-260,0.0,,
9,2.0,Bilel Ifa,DF,1.kw Kuwait SC,"Ariana, Tunisia",1990-03-09,32-256,0.0,,
10,19.0,Seifeddine Jaziri,FW,1.eg Zamalek SC,"Délégation de la Médina, Tunisia",1993-02-12,29-281,0.0,,
11,9.0,Issam Jebali,FW,1.dk Odense,"Medjez el Bab, Tunisia",1991-12-25,30-330,3.0,182.0,0.0
12,21.0,Wajdi Kechrida,DF,1.gr Atromitos,"Nice, France",1995-11-05,27-015,3.0,111.0,0.0
13,10.0,Wahbi Khazri,"FW,MF",1.fr Montpellier,"Ajaccio, France",1991-02-08,31-285,2.0,83.0,1.0
14,14.0,Aïssa Laïdouni,MF,1.hu Ferencváros,"Montfermeil, France",1996-12-13,25-342,3.0,243.0,0.0
15,12.0,Ali Maâloul,DF,1.eg Al Ahly SC,"Sfax, Tunisia",1990-01-01,32-323,1.0,90.0,0.0
16,1.0,Aymen Mathlouthi,GK,1.tn Étoile du Sahel,"Tunis, Tunisia",1984-09-14,38-067,0.0,,
17,8.0,Hannibal Mejbri,MF,2.eng Birmingham City,"Ivry-sur-Seine, France",2003-01-21,19-303,1.0,11.0,0.0
18,4.0,Yassine Meriah,DF,1.tn Espérance de Tunis,"Tunis, Tunisia",1993-07-02,29-141,3.0,270.0,0.0
19,7.0,Youssef Msakni,"MF,FW",1.qa Al-Arabi SC,"Tunis, Tunisia",1990-10-28,32-023,2.0,169.0,0.0
20,15.0,Mohamed Ali Ben Romdhane,MF,1.tn Espérance de Tunis,"Tunis, Tunisia",1999-09-06,23-075,1.0,73.0,0.0
21,13.0,Ferjani Sassi,"MF,DF",1.qa Al Duhail SC,"Ariana, Tunisia",1992-03-18,30-247,2.0,48.0,0.0
22,17.0,Ellyes Skhiri,MF,1.de Köln,"Lunel, France",1995-05-10,27-194,3.0,270.0,0.0
23,23.0,Naïm Sliti,"MF,FW",1.sa Al-Ettifaq,"Marseille, France",1992-07-27,30-116,2.0,114.0,0.0
24,3.0,Montassar Talbi,DF,1.fr Lorient,"Paris, France",1998-05-26,24-178,3.0,270.0,0.0
25,11.0,Taha Yassine Khenissi,FW,1.kw Kuwait SC,"Zarzis, Tunisia",1992-01-06,30-318,2.0,29.0,0.0
0,25.0,Roberto Alvarado,FW,1.mx Guadalajara,"Salamanca, Estado de Guanajuato, Mexico",1998-09-07,24-074,1.0,18.0,0.0
1,4.0,Edson Álvarez,MF,1.nl Ajax,"Tlalnepantla de Baz, Estado de México, Mexico",1997-10-24,25-027,2.0,175.0,0.0
2,26.0,Kevin Álvarez,DF,1.mx Pachuca,"Colima, Estado de Colima, Mexico",1999-01-15,23-309,2.0,70.0,0.0
3,21.0,Uriel Antuna,"FW,MF",1.mx Cruz Azul,"Gómez Palacio, Estado de Durango, Mexico",1997-08-21,25-091,3.0,77.0,0.0
4,2.0,Néstor Araujo,DF,1.mx América,"Guadalajara, Estado de Jalisco, Mexico",1991-08-29,31-083,1.0,90.0,0.0
5,6.0,Gerardo Arteaga,DF,1.be Genk,"Zapopan, Estado de Jalisco, Mexico",1998-09-07,24-074,0.0,,
6,24.0,Luis Chávez,MF,1.mx Pachuca,"Cihuatlán, Estado de Jalisco, Mexico",1996-01-15,26-309,3.0,270.0,1.0
7,12.0,Rodolfo Cota,GK,1.mx León,"Mazatlán, Estado de Sinaloa, Mexico",1987-07-03,35-140,0.0,,
8,19.0,Jorge Eduardo Sánchez,DF,1.nl Ajax,"Torreón, Estado de Coahuila de Zaragoza, Mexico",1997-12-10,24-345,2.0,175.0,0.0
9,11.0,Rogelio Funes Mori,FW,1.mx Monterrey,"Mendoza, Argentina",1991-03-05,31-260,1.0,5.0,0.0
10,23.0,Jesús Gallardo,DF,1.mx Monterrey,"Cárdenas, Estado de Tabasco, Mexico",1994-08-15,28-097,3.0,270.0,0.0
11,18.0,Andrés Guardado,MF,1.es Betis,"Guadalajara, Estado de Jalisco, Mexico",1986-09-28,36-053,1.0,41.0,0.0
12,14.0,Erick Gutiérrez,MF,1.nl PSV Eindhoven,"Los Mochis, Estado de Sinaloa, Mexico",1995-06-15,27-158,1.0,49.0,0.0
13,16.0,Héctor Herrera,MF,1.us Houston Dynamo,"Tijuana, Estado de Baja California, Mexico",1990-04-19,32-215,2.0,160.0,0.0
14,9.0,Raúl Jiménez,FW,1.eng Wolves,"Tepeji del Río de Ocampo, Estado de Hidalgo, Mexico",1991-05-05,31-199,3.0,59.0,0.0
15,22.0,Hirving Lozano,FW,1.it Napoli,"Mexico City, Ciudad de México, Mexico",1995-07-30,27-113,3.0,252.0,0.0
16,20.0,Henry Martín,FW,1.mx América,"Mérida, Estado de Yucatán, Mexico",1992-11-18,30-002,2.0,146.0,1.0
17,3.0,César Montes,DF,1.mx Monterrey,"Hermosillo, Estado de Sonora, Mexico",1997-02-24,25-269,3.0,270.0,0.0
18,15.0,Héctor Moreno,DF,1.mx Monterrey,"Culiacán, Estado de Sinaloa, Mexico",1988-01-17,34-307,3.0,270.0,0.0
19,13.0,Guillermo Ochoa,GK,1.mx América,"Guadalajara, Estado de Jalisco, Mexico",1985-07-13,37-130,3.0,270.0,0.0
20,17.0,Orbelín Pineda,MF,1.gr AEK Athens,"Coyuca de Catalán, Estado de Guerrero, Mexico",1996-03-24,26-241,1.0,76.0,0.0
21,8.0,Charly Rodríguez,MF,1.mx Cruz Azul,"San Nicolás de los Garza, Estado de Nuevo León, Mexico",1997-01-03,25-321,2.0,34.0,0.0
22,7.0,Luis Romo,"DF,MF",1.mx Monterrey,"Ahome, Estado de Sinaloa, Mexico",1995-06-05,27-168,0.0,,
23,1.0,Alfredo Talavera,GK,1.mx FC Juárez,"La Barca, Estado de Jalisco, Mexico",1982-09-18,40-063,0.0,,
24,5.0,Johan Vásquez,DF,1.it Cremonese,"Navojoa, Estado de Sonora, Mexico",1998-10-22,24-029,0.0,,
25,10.0,Alexis Vega,FW,1.mx Guadalajara,"Cuauhtémoc, Ciudad de México, Mexico",1997-11-25,24-360,3.0,193.0,0.0
0,2.0,Toby Alderweireld,DF,1.be Antwerp,"Wilrijk, Belgium",1989-03-02,33-263,3.0,270.0,0.0
1,23.0,Michy Batshuayi,FW,1.tr Fenerbahçe,"Brussels, Belgium",1993-10-02,29-049,2.0,151.0,1.0
2,11.0,Yannick Carrasco,"FW,DF",1.es Atlético Madrid,"Ixelles, Belgium",1993-09-04,29-077,2.0,116.0,0.0
3,21.0,Timothy Castagne,DF,1.eng Leicester City,"Arlon, Belgium",1995-12-05,26-350,3.0,270.0,0.0
4,13.0,Koen Casteels,GK,1.de Wolfsburg,"Bonheiden, Belgium",1992-06-25,30-148,0.0,,
5,1.0,Thibaut Courtois,GK,1.es Real Madrid,"Bree, Belgium",1992-05-11,30-193,3.0,270.0,0.0
6,7.0,Kevin De Bruyne,"FW,MF",1.eng Manchester City,"Gent, Belgium",1991-06-28,31-145,3.0,270.0,0.0
7,22.0,Charles De Ketelaere,FW,1.it Milan,"Brugge, Belgium",2001-03-10,21-255,1.0,16.0,0.0
8,26.0,Zeno Debast,DF,1.be Anderlecht,"Halle, Belgium",2003-10-24,19-027,0.0,,
9,19.0,Leander Dendoncker,"DF,MF",1.eng Aston Villa,"Passendale, Belgium",1995-04-15,27-219,2.0,161.0,0.0
10,25.0,Jeremy Doku,"MF,FW",1.fr Rennes,"Antwerpen, Belgium",2002-05-27,20-177,1.0,19.0,0.0
11,4.0,Wout Faes,DF,1.eng Leicester City,"Mol, Belgium",1998-04-03,24-231,0.0,,
12,10.0,Eden Hazard,MF,1.es Real Madrid,"La Louvière, Belgium",1991-01-07,31-317,3.0,124.0,0.0
13,16.0,Thorgan Hazard,FW,1.de Dortmund,"La Louvière, Belgium",1993-03-29,29-236,2.0,106.0,0.0
14,,Romelu Lukaku,FW,1.it Inter,"Antwerpen, Belgium",1993-05-13,29-191,2.0,55.0,0.0
15,14.0,Dries Mertens,"MF,FW",1.tr Galatasaray,"Leuven, Belgium",1987-05-06,35-198,2.0,76.0,0.0
16,15.0,Thomas Meunier,DF,1.de Dortmund,"Sainte-Ode, Belgium",1991-09-12,31-069,3.0,211.0,0.0
17,12.0,Simon Mignolet,GK,1.be Club Brugge,"Sint-Truiden, Belgium",1988-03-06,34-259,0.0,,
18,18.0,Amadou Onana,MF,1.eng Everton,"Brussels, Belgium",2001-08-16,21-096,2.0,104.0,0.0
19,24.0,Loïs Openda,FW,1.fr Lens,"Liège, Belgium",2000-02-16,22-277,1.0,13.0,0.0
20,3.0,Arthur Theate,DF,1.fr Rennes,"Liège, Belgium",2000-05-25,22-179,0.0,,
21,8.0,Youri Tielemans,MF,1.eng Leicester City,"Sint-Pieters-Leeuw, Belgium",1997-05-07,25-197,3.0,95.0,0.0
22,17.0,Leandro Trossard,"FW,MF",1.eng Brighton,"Maasmechelen, Belgium",1994-12-04,27-351,3.0,103.0,0.0
23,20.0,Hans Vanaken,MF,1.be Club Brugge,"Neerpelt, Belgium",1992-08-24,30-088,0.0,,
24,5.0,Jan Vertonghen,DF,1.be Anderlecht,"Sint-Niklaas, Belgium",1987-04-24,35-210,3.0,270.0,0.0
25,6.0,Axel Witsel,MF,1.es Atlético Madrid,"Liège, Belgium",1989-01-12,33-312,3.0,270.0,0.0
0,21.0,Salis Abdul Samed,MF,1.fr Lens,"Accra, Ghana",2000-03-26,22-239,3.0,250.0,0.0
1,13.0,Daniel Afriyie Barnieh,FW,1.gh Accra Hearts of Oak SC,"Kumasi, Ghana",2001-06-26,21-147,0.0,,
2,15.0,Joseph Aidoo,DF,1.es Celta Vigo,"Accra, Ghana",1995-09-29,27-052,0.0,,
3,18.0,Daniel Amartey,DF,1.eng Leicester City,"Accra, Ghana",1994-12-21,27-334,3.0,251.0,0.0
4,1.0,Lawrence Ati-Zigi,GK,1.ch St. Gallen,"Accra, Ghana",1996-11-29,25-356,3.0,270.0,0.0
5,10.0,André Ayew,"MF,FW",1.qa Al Sadd SC,"Seclin, France",1989-12-17,32-338,3.0,198.0,1.0
6,9.0,Jordan Ayew,FW,1.eng Crystal Palace,"Marseille, France",1991-09-11,31-070,3.0,136.0,0.0
7,11.0,Osman Bukari,MF,1.rs Red Star,"Accra, Ghana",1998-12-13,23-342,2.0,59.0,1.0
8,23.0,Alexander Djiku,"DF,FW",1.fr Strasbourg,"Montpellier, France",1994-08-09,28-103,2.0,97.0,0.0
9,7.0,Abdul Fatawu Issahaku,FW,1.pt Sporting CP,"Tamale, Ghana",2004-03-08,18-257,1.0,1.0,0.0
10,12.0,Danlad Ibrahim,GK,1.gh Asante Kotoko SC,"Accra, Ghana",2002-12-02,19-353,0.0,,
11,8.0,Daniel Kyereh,"MF,DF",1.de Freiburg,"Accra, Ghana",1996-03-08,26-257,3.0,33.0,0.0
12,2.0,Tariq Lamptey,DF,1.eng Brighton,"Hillingdon, England, United Kingdom",2000-09-30,22-051,2.0,102.0,0.0
13,14.0,Gideon Mensah,DF,1.fr Auxerre,"Accra, Ghana",1998-07-18,24-125,1.0,87.0,0.0
14,20.0,Kudus Mohammed,"FW,MF",1.nl Ajax,"Accra, Ghana",2000-08-02,22-110,3.0,247.0,2.0
15,16.0,Manaf Nurudeen,GK,1.be Eupen,"Accra, Ghana",1999-02-08,23-285,0.0,,
16,3.0,Denis Odoi,DF,1.be Club Brugge,"Leuven, Belgium",1988-05-27,34-177,1.0,13.0,0.0
17,6.0,Elisha Owusu,MF,1.be Gent,"Montreuil, France",1997-11-07,25-013,0.0,,
18,5.0,Thomas Partey,MF,1.eng Arsenal,"Odumase Krobo, Ghana",1993-06-13,29-160,3.0,270.0,0.0
19,17.0,Baba Rahman,DF,2.eng Reading,"Tamale, Ghana",1994-07-02,28-141,3.0,183.0,0.0
20,4.0,Mohammed Salisu,DF,1.eng Southampton,"Benin, Benin",1999-04-17,23-217,3.0,270.0,1.0
21,26.0,Alidu Seidu,DF,1.fr Clermont Foot,"Accra, Ghana",2000-06-04,22-169,2.0,155.0,0.0
22,25.0,Antoine Semenyo,"FW,MF",2.eng Bristol City,"London, England, United Kingdom",2000-01-07,22-317,2.0,20.0,0.0
23,24.0,Kamal Sowah,"FW,MF",1.be Club Brugge,"Accra, Ghana",2000-01-09,22-315,0.0,,
24,22.0,Kamaldeen Sulemana,FW,1.fr Rennes,"Techiman, Ghana",2002-02-15,20-278,2.0,58.0,0.0
25,19.0,Iñaki Williams,FW,1.es Athletic Club,"Bilbao, Spain",1994-06-15,28-158,3.0,270.0,0.0
0,12.0,Saud Abdulhamid,"DF,MF",1.sa Al-Hilal,"Jiddah, Saudi Arabia",1999-07-18,23-125,3.0,270.0,0.0
1,18.0,Nawaf Al Abed,MF,1.sa Al-Shabab,"Riyadh, Saudi Arabia",1990-01-26,32-298,2.0,88.0,0.0
2,20.0,Abdulrahman Al-Aboud,"MF,DF",1.sa Al-Ittihad,"Dammam, Saudi Arabia",1995-06-01,27-172,2.0,35.0,0.0
3,4.0,Abdulelah Al-Amri,DF,1.sa Al-Nassr,"Ta’if, Saudi Arabia",1997-01-15,25-309,3.0,182.0,0.0
4,22.0,Nawaf Al Aqidi,GK,1.sa Al-Nassr,"Riyadh, Saudi Arabia",2000-05-10,22-194,0.0,,
5,19.0,Hattan Bahebri,MF,1.sa Al-Shabab,"Jeddah, Saudi Arabia",1992-07-16,30-127,2.0,4.0,0.0
6,6.0,Mohammed Al-Breik,DF,1.sa Al-Hilal,"Mecca, Saudi Arabia",1992-09-15,30-066,2.0,65.0,0.0
7,5.0,Ali Al-Bulaihi,DF,1.sa Al-Hilal,"Najrān, Saudi Arabia",1989-11-21,32-364,3.0,216.0,0.0
8,9.0,Firas Al-Buraikan,"MF,FW",1.sa Al-Fateh,"Riyadh, Saudi Arabia",2000-05-14,22-190,3.0,268.0,0.0
9,24.0,Nasser Al-Dawsari,FW,1.sa Al-Hilal,"Riyadh, Saudi Arabia",1998-12-19,23-336,1.0,5.0,0.0
10,10.0,Salem Al-Dawsari,MF,1.sa Al-Hilal,"Riyadh, Saudi Arabia",1991-08-19,31-093,3.0,270.0,2.0
11,7.0,Salman Al-Faraj,MF,1.sa Al-Hilal,"Medina, Saudi Arabia",1989-08-01,33-111,1.0,44.0,0.0
12,2.0,Sultan Al-Ghanam,"DF,MF",1.sa Al-Nassr,"Dayr ash Shi‘bah, Yemen",1994-05-06,28-198,3.0,126.0,0.0
13,25.0,Asiri Haitham,FW,2.sa Al-Ahli,"Muḩāyil, Saudi Arabia",2001-03-25,21-240,1.0,2.0,0.0
14,15.0,Ali Al Hassan,MF,1.sa Al-Nassr,"Al Hufūf, Saudi Arabia",1997-03-04,25-261,1.0,45.0,0.0
15,23.0,Mohamed Kanno,"MF,FW",1.sa Al-Hilal,"Khobar, Saudi Arabia",1994-09-22,28-059,3.0,270.0,0.0
16,3.0,Abdullah Madu,"DF,MF",1.sa Al-Nassr,"Mecca, Saudi Arabia",1993-07-15,29-128,1.0,45.0,0.0
17,8.0,Abdulellah Al-Malki,MF,1.sa Al-Hilal,"Mecca, Saudi Arabia",1994-10-11,28-040,2.0,174.0,0.0
18,16.0,Sami Al-Najei,MF,1.sa Al-Nassr,"Jizan, Saudi Arabia",1997-02-07,25-286,1.0,45.0,0.0
19,14.0,Abdullah Otayf,MF,1.sa Al-Hilal,"Riyadh, Saudi Arabia",1992-08-03,30-109,0.0,,
20,21.0,Mohammed Al-Owais,GK,1.sa Al-Hilal,"Al Hufūf, Saudi Arabia",1991-10-10,31-041,3.0,270.0,0.0
21,13.0,Yasser Al-Shahrani,DF,1.sa Al-Hilal,"Riyadh, Saudi Arabia",1992-05-25,30-179,1.0,89.0,0.0
22,,Riyadh Sharahili,MF,1.sa Abha,"Riyadh, Saudi Arabia",1993-04-28,29-206,1.0,54.0,0.0
23,11.0,Saleh Al-Shehri,FW,1.sa Al-Hilal,"Jeddah, Saudi Arabia",1993-11-01,29-019,3.0,223.0,1.0
24,17.0,Hassan Al Tambakti,DF,1.sa Al-Shabab,"Riyadh, Saudi Arabia",1999-02-09,23-284,2.0,180.0,0.0
25,1.0,Mohammed Al Yami,GK,2.sa Al-Ahli,"Najrān, Saudi Arabia",1997-08-14,25-098,0.0,,
0,22.0,Amir Abedzadeh,GK,2.es Ponferradina,"Tehran, Iran",1993-04-26,29-208,0.0,,
1,11.0,Vahid Amiri,"FW,MF",1.ir Persepolis,"Khorramabad, Iran",1988-04-02,34-232,0.0,,
2,10.0,Karim Ansarifard,"FW,MF",1.cy AC Omonia,"Ardabīl, Iran",1990-04-03,32-231,2.0,35.0,0.0
